category,datetime,headline,id,image,related,source,summary,url,ticker,readable_datetime
company,1730548885,"Pomerantz Law Firm Investigates Claims On Behalf of Investors of Tesla, Inc. - TSLA",131006068,,TSLA,Finnhub,"NEW YORK, Nov. 2, 2024 /PRNewswire/ -- Pomerantz LLP is investigating claims on behalf of investors of  Tesla, Inc.  . Such investors are advised to contact Danielle Peyton at...",https://finnhub.io/api/news?id=d3251d53154e1c1ddcb513881a5291770fe8be7363349e859c52748c8e39debd,TSLA,2024-11-02 12:01:25
company,1730495940,You Won't Believe What Elon Musk Just Said About Tesla,130973851,https://g.foolcdn.com/editorial/images/795579/gettyimages-1083077280.jpg,TSLA,Yahoo,Elon Musk just told investors that he thinks Tesla will emerge as the world's most valuable company.,https://finnhub.io/api/news?id=665b3b6ea6299af668da77c657a3f2d654b5b244246e0b27e9350ba89661c054,TSLA,2024-11-01 21:19:00
company,1730493154,Tesla Sells $499 Million of Debt Backed by Solar Equipment Loans,130973860,https://s.yimg.com/ny/api/res/1.2/2BNKLx7qotNKobItsMgtDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://media.zenfs.com/en/bloomberg_markets_842/1653cd932e3bbcc31307ef7f30a2cffa,TSLA,Yahoo,"(Bloomberg) -- Tesla Inc. sold $499 million of bonds backed by loans offered to customers buying solar equipment.Most Read from BloombergIs Denver’s Big Bet on E-Bikes Paying Off?The Answer To Making Cities More Family-Friendly? CourtyardsChicago Mayor Seeks Property Tax Hike, Breaking Campaign VowIstanbul Tries Free Public Transit to Help Job SeekersIn Warsaw, Falling Road Deaths Signal a Traffic Safety TurnaroundDeutsche Bank began marketing the five-tranche deal on Monday and the process wrap",https://finnhub.io/api/news?id=336dd6be94471576524994f62849cf094dceff6e6fdd020fc244c3814c1a34ff,TSLA,2024-11-01 20:32:34
company,1730480503,Catherine Wood's Strategic Moves in Q3 2024: A Deep Dive into Zoom Video Communications' ...,130963381,https://s.yimg.com/ny/api/res/1.2/K_gE6JJVDrxVWiU.FWNeGQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04NzE-/https://media.zenfs.com/en/us.finance.gurufocus/a07c4b6776676630f4981c788f250546,TSLA,Yahoo,Insights from ARK Investment Management's Latest 13F Filing,https://finnhub.io/api/news?id=e94a6ef8adc3aa80a50f228cd6f11d693daa545e7ecd13274cbc4c46e1050a49,TSLA,2024-11-01 17:01:43
company,1730480311,"In 2016, Elon Musk Said It's 'Terrible To Make A Profit On Service.' Now, Repairs, Parts And Superchargers Are Beginning To Drive Its Profits",130967284,https://media.zenfs.com/en/Benzinga/9618071415eb73e4ffde06d9ece949b7,TSLA,Yahoo,"In 2016, Elon Musk said something that might surprise you today: “Our philosophy with respect to service is not to profit from service. I think that it's terrible to make a profit on service.” By 2024, however, it appears that things are going the other way. As Electrek’s Fred Lambert reports, a significant portion of Tesla’s revenue comes from auto repairs, components and its network of Superchargers – exactly the sectors Musk had insisted would not be centered on profit. Don't Miss: This Adobe",https://finnhub.io/api/news?id=3cdadec32beafdbd0ae806dcd5290cc21a42bcb6b7640bbc617939fa6ef42840,TSLA,2024-11-01 16:58:31
company,1730475837,"How One Investor Made Retirement Happen With $61,600 In Annual Dividends",130966897,https://media.zenfs.com/en/benzinga_79/a46bc7d04dda944144d8269769c60772,TSLA,Yahoo,"Dividend investing is an approach to building wealth over the long term. By investing in companies that consistently pay dividends to their shareholders, investors can benefit from a steady stream of income while potentially growing their principal ...",https://finnhub.io/api/news?id=127866ba80817bc30be07d0c707eafa227eab3a3cf84ebe4466c905dd41ec324,TSLA,2024-11-01 15:43:57
company,1730474828,"Is Tesla, Inc. (TSLA) Set to Explode in 2025?",130967287,,TSLA,Yahoo,"We recently compiled a list of the 10 Stocks Set to Explode in 2025. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against the other stocks set to explode in 2025. “Big Technology are The New Defensives” Strategist Says As the Magnificent Seven continues to release earnings for […]",https://finnhub.io/api/news?id=3e533be42877fa69d33cf2673d1726c09acd0ffd42bed6d445de5c7cebd71222,TSLA,2024-11-01 15:27:08
company,1730473079,Elon Musk Discovers Tesla Cybertruck's Biggest Enthusiast in Shaquille O'Neal,130967292,,TSLA,Yahoo,NBA Legend Takes Delivery of Third Custom Tesla Cybertruck,https://finnhub.io/api/news?id=696485e6292914b6cb0e5e63ab4446a42bfb47899d15f9a7042beeecc185462b,TSLA,2024-11-01 14:57:59
company,1730472840,BYD’s Sales Hit a Record. It’s Neck and Neck in EV Race With Tesla.,130967295,,TSLA,Yahoo,"The Chinese manufacturer sold more than 500,000 passenger vehicles in a month for the first time in October.",https://finnhub.io/api/news?id=0e292f060ab82edac1177464ab32c773a0eeb3b2833c3ecd4781c19770d91fe5,TSLA,2024-11-01 14:54:00
company,1730472744,Musk tests the role of money in U.S. politics with multimillion-dollar effort to back Trump,130973883,https://s.yimg.com/ny/api/res/1.2/CKRK2E4LM6561sJsac3vqg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap_finance_articles_694/1825c0380891d52de809df2dc1bd9c36,TSLA,Yahoo,"And The Wall Street Journal recently reported that Musk regularly communicates with Russian President Vladimir Putin, a potential national security risk because SpaceX, his aerospace company, holds billions of dollars worth of contracts with NASA and the Department of Defense. Musk is hardly the only person whose megawealth places him at the nexus of politics, business and foreign policy. But few are working so publicly for a single candidate as Musk, whose expansive business ties and growing bravado pose a vexing test of one unelected person's political power.",https://finnhub.io/api/news?id=f1b169d43ee4fc4cfe716b0c7985a879c196c7878c9c95917802ab047c7f5dbb,TSLA,2024-11-01 14:52:24
